AccountID,CustomerID,AccountType,Balance,OpenDate,Status,BranchID
A00001,C00001,Savings,65793.42,2016-02-22,Closed,B001
A00002,C00002,Savings,36785.44,2023-08-13,Dormant,B011
A00003,C00003,Current,42215.01,2022-07-04,Closed,B011
A00004,C00004,Current,25209.07,2022-07-26,Active,B004
A00005,C00005,Current,37412.35,2020-03-13,Dormant,B009
A00006,C00006,Current,58272.92,2021-10-21,Active,B018
A00007,C00007,Savings,96967.76,2023-11-25,Active,B018
A00008,C00008,Current,43156.04,2022-08-19,Dormant,B012
A00009,C00009,Current,48985.21,2017-01-11,Closed,B003
A00010,C00010,Current,92331.73,2021-10-05,Active,B010
A00011,C00011,Savings,64793.52,2022-09-29,Dormant,B013
A00012,C00012,Current,85853.66,2024-03-15,Active,B012
A00013,C00013,Savings,26653.87,2017-06-03,Dormant,B007
A00014,C00014,Savings,3408.56,2023-12-27,Active,B003
A00015,C00015,Savings,40330.59,2015-09-17,Dormant,B018
A00016,C00016,Savings,94830.0,2017-10-15,Dormant,B015
A00017,C00017,Savings,18782.3,2023-04-16,Closed,B018
A00018,C00018,Savings,15391.83,2024-06-06,Closed,B002
A00019,C00019,Current,37765.21,2017-10-14,Dormant,B013
A00020,C00020,Savings,40340.9,2016-09-20,Dormant,B019
A00021,C00021,Savings,43450.76,2018-10-23,Dormant,B016
A00022,C00022,Savings,91809.85,2017-12-14,Active,B005
A00023,C00023,Current,67982.42,2023-09-24,Active,B018
A00024,C00024,Savings,6053.79,2019-09-15,Closed,B019
A00025,C00025,Savings,25658.71,2020-05-03,Closed,B012
A00026,C00026,Savings,45981.03,2025-03-17,Closed,B016
A00027,C00027,Current,89457.66,2016-12-31,Active,B005
A00028,C00028,Current,18640.99,2019-05-12,Active,B014
A00029,C00029,Savings,68743.77,2024-02-10,Closed,B013
A00030,C00030,Savings,59022.54,2020-07-21,Closed,B009
A00031,C00031,Savings,74192.94,2021-03-08,Active,B004
A00032,C00032,Current,78428.06,2017-11-10,Closed,B011
A00033,C00033,Savings,11691.25,2024-09-11,Dormant,B006
A00034,C00034,Savings,2976.61,2016-11-14,Active,B009
A00035,C00035,Savings,17746.96,2024-04-25,Dormant,B004
A00036,C00036,Savings,86656.26,2023-05-27,Closed,B017
A00037,C00037,Savings,88503.83,2017-03-03,Closed,B012
A00038,C00038,Savings,65410.59,2020-12-25,Dormant,B001
A00039,C00039,Current,18592.19,2021-08-08,Active,B001
A00040,C00040,Current,28964.16,2017-06-27,Closed,B008
A00041,C00041,Current,49354.06,2016-01-22,Closed,B003
A00042,C00042,Current,79033.95,2015-12-31,Closed,B003
A00043,C00043,Savings,6682.88,2019-05-28,Active,B016
A00044,C00044,Savings,16298.55,2021-08-07,Closed,B017
A00045,C00045,Savings,96018.58,2018-02-26,Active,B018
A00046,C00046,Current,97616.0,2022-04-15,Closed,B010
A00047,C00047,Savings,90202.91,2023-11-04,Dormant,B012
A00048,C00048,Current,70517.0,2022-03-28,Dormant,B004
A00049,C00049,Current,14166.74,2023-05-06,Dormant,B011
A00050,C00050,Current,41131.01,2020-11-18,Closed,B008
A00051,C00051,Current,81938.12,2022-02-11,Active,B003
A00052,C00052,Current,88668.59,2017-03-16,Dormant,B008
A00053,C00053,Current,15985.33,2021-10-07,Closed,B003
A00054,C00054,Current,91723.18,2023-06-09,Dormant,B016
