CardID,CustomerID,CardType,CreditLimit,IssueDate,ExpiryDate,Status,OutstandingBalance
CC00001,C00001,Gold,150000,2023-09-18,2030-03-18,Blocked,29270.59
CC00004,C00004,Platinum,150000,2022-06-02,2028-10-13,Active,47001.52
CC00007,C00007,Silver,150000,2022-01-01,2027-02-05,Active,24245.95
CC00012,C00012,Silver,50000,2022-04-12,2028-06-29,Active,17297.04
CC00017,C00017,Platinum,100000,2022-11-12,2025-10-28,Active,36839.4
CC00018,C00018,Platinum,50000,2022-06-04,2029-09-05,Blocked,31175.09
CC00020,C00020,Silver,150000,2023-09-15,2029-04-10,Active,34531.77
CC00022,C00022,Gold,50000,2021-03-15,2026-03-19,Blocked,45326.35
CC00023,C00023,Platinum,150000,2023-01-24,2029-04-22,Active,7138.96
CC00024,C00024,Gold,50000,2023-04-16,2027-01-17,Active,39547.88
CC00026,C00026,Gold,50000,2021-01-20,2025-09-04,Active,32144.62
CC00027,C00027,Platinum,100000,2020-09-03,2030-01-16,Blocked,26879.28
CC00028,C00028,Gold,100000,2023-02-10,2027-11-19,Active,12617.51
CC00029,C00029,Silver,100000,2020-09-20,2029-10-08,Active,46953.63
CC00030,C00030,Platinum,100000,2023-01-02,2027-05-02,Blocked,48622.93
CC00032,C00032,Silver,50000,2023-09-12,2028-07-26,Active,27730.22
CC00035,C00035,Platinum,50000,2023-06-10,2026-11-02,Active,47376.94
CC00038,C00038,Silver,150000,2020-08-25,2027-12-28,Active,24529.12
CC00042,C00042,Platinum,50000,2024-05-03,2025-09-18,Blocked,17161.37
CC00043,C00043,Platinum,100000,2021-06-10,2025-08-16,Blocked,10735.36
CC00048,C00048,Gold,50000,2023-10-22,2026-04-28,Active,26263.66
CC00051,C00051,Platinum,150000,2024-03-08,2027-11-27,Blocked,11953.29
CC00053,C00053,Silver,100000,2023-04-28,2025-11-07,Active,7998.93
CC00054,C00054,Silver,100000,2024-01-26,2027-08-25,Active,13115.34
CC00056,C00056,Gold,150000,2021-09-05,2028-09-18,Active,6034.33
CC00065,C00065,Silver,150000,2022-08-16,2026-07-02,Active,23687.14
CC00066,C00066,Platinum,150000,2021-08-13,2028-12-30,Active,29314.56
CC00067,C00067,Platinum,100000,2024-06-25,2029-10-25,Active,26707.43
CC00074,C00074,Gold,100000,2024-01-11,2028-12-30,Active,44178.03
CC00077,C00077,Gold,100000,2023-01-29,2028-11-05,Blocked,21891.78
CC00079,C00079,Gold,50000,2023-04-22,2028-09-22,Blocked,16103.79
CC00082,C00082,Platinum,150000,2021-07-22,2028-03-07,Active,45068.58
CC00083,C00083,Silver,100000,2022-08-19,2027-09-07,Blocked,48902.66
CC00086,C00086,Platinum,100000,2021-07-30,2026-02-14,Active,7201.1
CC00091,C00091,Platinum,50000,2022-08-17,2029-01-09,Blocked,35136.97
CC00093,C00093,Gold,150000,2021-02-07,2027-05-16,Active,38376.0
CC00094,C00094,Platinum,150000,2021-05-25,2028-04-12,Blocked,13757.67
CC00095,C00095,Silver,150000,2021-08-22,2029-12-13,Active,49787.52
CC00096,C00096,Platinum,50000,2021-01-21,2026-11-13,Active,23752.55
CC00098,C00098,Platinum,50000,2020-10-15,2025-11-02,Blocked,37786.1
CC00099,C00099,Gold,50000,2020-11-15,2028-02-18,Active,14600.72
CC00100,C00100,Platinum,50000,2023-02-28,2026-03-20,Active,30387.94
CC00101,C00101,Gold,50000,2020-10-23,2026-04-16,Blocked,8585.69
CC00105,C00105,Gold,50000,2024-04-01,2026-05-31,Active,8855.93
CC00106,C00106,Platinum,100000,2023-03-30,2029-05-12,Blocked,23853.04
