ProductID,CustomerID,ProductType,Amount,TenureMonths,EMI,StartDate,EndDate,Status
P00002,C00002,Personal Loan,50000,120,7289.22,2024-02-18,2028-03-24,Active
P00003,C00003,Home Loan,500000,24,4406.56,2021-06-05,2028-10-15,Active
P00005,C00005,Health Insurance,250000,12,3171.72,2022-10-15,2029-05-20,Closed
P00007,C00007,Home Loan,500000,12,2839.51,2023-06-12,2028-08-02,Defaulted
P00009,C00009,Home Loan,250000,12,5676.98,2021-09-18,2026-06-08,Closed
P00010,C00010,Health Insurance,500000,60,5972.86,2022-05-12,2028-12-03,Defaulted
P00012,C00012,Personal Loan,500000,60,1917.81,2023-01-02,2029-05-16,Defaulted
P00013,C00013,Home Loan,100000,60,2295.93,2022-11-29,2028-09-01,Closed
P00016,C00016,Home Loan,500000,60,5063.55,2020-10-28,2027-01-08,Defaulted
P00023,C00023,Personal Loan,500000,24,6128.64,2023-12-28,2027-09-12,Active
P00024,C00024,Health Insurance,50000,24,1157.27,2023-08-19,2029-02-19,Active
P00027,C00027,Home Loan,250000,24,2535.83,2020-08-04,2028-05-25,Closed
P00032,C00032,Car Insurance,100000,12,2266.56,2020-07-27,2027-08-26,Defaulted
P00039,C00039,Personal Loan,50000,120,4434.1,2021-02-01,2030-05-02,Defaulted
P00041,C00041,Home Loan,100000,12,5289.82,2022-05-09,2029-11-19,Active
P00042,C00042,Health Insurance,250000,60,3337.78,2020-08-28,2028-04-24,Active
P00043,C00043,Personal Loan,250000,24,7660.97,2022-05-16,2027-08-10,Closed
P00045,C00045,Personal Loan,50000,12,9106.52,2023-05-07,2028-08-02,Defaulted
P00048,C00048,Personal Loan,50000,24,8854.11,2023-02-28,2026-12-31,Defaulted
P00049,C00049,Personal Loan,500000,24,7374.04,2024-06-07,2030-02-15,Defaulted
P00055,C00055,Personal Loan,250000,120,9163.41,2021-01-24,2030-05-12,Active
P00060,C00060,Personal Loan,50000,12,9587.35,2021-04-03,2027-07-12,Active
P00061,C00061,Home Loan,500000,24,4841.37,2022-05-24,2027-01-18,Active
P00062,C00062,Car Insurance,100000,12,2332.46,2020-09-12,2028-03-31,Closed
P00068,C00068,Personal Loan,50000,12,6987.29,2020-12-27,2027-06-08,Defaulted
P00069,C00069,Car Insurance,250000,60,2058.75,2021-06-11,2026-04-05,Defaulted
P00074,C00074,Car Insurance,100000,12,2517.12,2023-09-25,2028-11-13,Defaulted
P00075,C00075,Car Insurance,100000,12,2687.98,2023-09-27,2029-06-04,Closed
P00076,C00076,Health Insurance,250000,60,3002.08,2020-11-27,2030-02-21,Defaulted
P00078,C00078,Home Loan,250000,24,5035.24,2020-11-07,2030-01-08,Defaulted
P00082,C00082,Home Loan,500000,120,4165.27,2024-03-20,2025-10-20,Closed
P00087,C00087,Car Insurance,100000,24,2516.97,2022-07-14,2028-10-25,Closed
P00090,C00090,Health Insurance,250000,24,6765.2,2023-11-10,2029-03-27,Active
P00095,C00095,Health Insurance,100000,60,4694.28,2023-03-20,2025-12-16,Closed
P00096,C00096,Home Loan,250000,120,6509.89,2023-01-24,2025-11-01,Defaulted
P00099,C00099,Home Loan,500000,120,8802.41,2022-07-17,2030-03-12,Closed
P00100,C00100,Personal Loan,500000,120,2088.81,2024-07-19,2029-05-04,Closed
P00102,C00102,Personal Loan,50000,24,5897.74,2021-05-01,2028-08-07,Active
P00106,C00106,Car Insurance,50000,60,4561.54,2022-08-12,2028-05-04,Closed
P00108,C00108,Health Insurance,100000,24,9246.83,2022-11-22,2029-10-15,Active
P00109,C00109,Health Insurance,250000,12,7495.53,2022-07-13,2028-02-29,Defaulted
P00110,C00110,Car Insurance,50000,120,5002.64,2022-01-31,2028-09-11,Active
P00112,C00112,Health Insurance,100000,60,8135.3,2020-11-02,2026-06-13,Defaulted
P00113,C00113,Health Insurance,500000,12,7533.69,2021-06-15,2026-05-25,Defaulted
P00115,C00115,Home Loan,50000,120,8810.0,2024-02-11,2028-10-10,Closed
P00117,C00117,Personal Loan,250000,120,9535.81,2021-10-08,2028-08-18,Closed
P00118,C00118,Car Insurance,500000,120,4925.54,2024-06-19,2028-04-03,Closed
P00120,C00120,Home Loan,500000,12,8079.37,2024-04-15,2026-06-10,Defaulted
P00127,C00127,Health Insurance,500000,60,9360.44,2022-12-31,2025-12-11,Active
P00130,C00130,Health Insurance,250000,12,8071.53,2023-03-21,2028-12-30,Defaulted
P00131,C00131,Car Insurance,250000,60,7400.24,2022-01-25,2029-04-28,Active
P00132,C00132,Car Insurance,50000,120,8535.27,2022-03-10,2027-04-20,Defaulted
P00133,C00133,Health Insurance,250000,12,6861.24,2021-12-31,2027-01-03,Closed
P00142,C00142,Car Insurance,500000,60,2806.87,2023-06-21,2029-08-21,Defaulted
P00144,C00144,Car Insurance,50000,120,4416.14,2022-03-08,2028-03-03,Active
P00145,C00145,Car Insurance,100000,120,7231.27,2023-05-28,2028-07-24,Closed
P00147,C00147,Health Insurance,250000,24,1855.86,2023-06-02,2026-06-22,Closed
P00148,C00148,Personal Loan,50000,120,9693.22,2023-11-22,2025-10-12,Defaulted
P00151,C00151,Health Insurance,500000,24,1332.77,2022-04-28,2026-04-18,Closed
P00154,C00154,Health Insurance,500000,12,1103.05,2024-03-26,2025-12-14,Active
P00155,C00155,Home Loan,500000,60,5052.75,2021-03-10,2026-08-08,Defaulted
P00156,C00156,Health Insurance,50000,12,8429.82,2023-07-03,2027-02-19,Closed
P00157,C00157,Personal Loan,50000,24,1060.33,2023-06-04,2026-09-14,Defaulted
P00165,C00165,Personal Loan,250000,120,8917.86,2024-01-30,2029-08-07,Active
P00169,C00169,Personal Loan,100000,12,3771.87,2023-01-26,2025-10-18,Defaulted
P00172,C00172,Home Loan,50000,60,1583.64,2022-03-31,2028-07-08,Active
P00177,C00177,Home Loan,500000,60,6917.05,2023-05-10,2029-02-21,Defaulted
P00179,C00179,Car Insurance,100000,60,3699.16,2022-08-17,2025-10-11,Defaulted
P00184,C00184,Health Insurance,250000,120,9805.57,2023-03-08,2027-07-15,Closed
P00187,C00187,Home Loan,100000,60,4621.1,2023-12-18,2026-02-02,Closed
P00188,C00188,Home Loan,100000,12,8411.56,2024-02-10,2028-12-22,Defaulted
P00189,C00189,Health Insurance,100000,24,3980.05,2021-07-03,2027-09-26,Closed
P00192,C00192,Health Insurance,500000,120,7580.43,2022-07-07,2029-04-08,Active
P00198,C00198,Health Insurance,50000,12,2206.16,2022-08-16,2028-02-23,Active
P00200,C00200,Car Insurance,50000,120,6659.67,2023-02-07,2027-07-11,Active
P00208,C00208,Car Insurance,500000,120,6610.93,2022-11-27,2027-11-07,Defaulted
P00210,C00210,Health Insurance,500000,60,2371.49,2021-10-21,2028-11-22,Closed
P00211,C00211,Home Loan,50000,120,3466.49,2022-01-30,2028-09-03,Defaulted
P00219,C00219,Car Insurance,250000,12,6204.34,2020-10-02,2025-10-12,Active
P00220,C00220,Health Insurance,250000,120,6369.65,2024-04-17,2028-08-20,Active
P00222,C00222,Car Insurance,100000,12,8984.83,2023-09-19,2026-01-11,Defaulted
P00226,C00226,Home Loan,250000,24,3107.02,2021-09-02,2025-09-25,Closed
P00227,C00227,Home Loan,100000,120,8737.04,2022-06-27,2029-06-02,Closed
P00229,C00229,Home Loan,500000,24,5469.59,2024-06-16,2028-02-12,Active
P00230,C00230,Personal Loan,100000,120,2204.56,2024-05-30,2026-07-10,Active
P00233,C00233,Car Insurance,50000,60,3777.02,2023-12-24,2029-05-02,Closed
P00239,C00239,Car Insurance,100000,60,7651.64,2023-08-31,2027-10-03,Active
P00240,C00240,Home Loan,250000,12,6621.26,2023-05-30,2029-05-15,Closed
P00243,C00243,Health Insurance,100000,12,6108.74,2023-04-28,2027-05-13,Defaulted
P00245,C00245,Home Loan,100000,60,2294.95,2023-06-20,2026-03-03,Closed
P00250,C00250,Home Loan,250000,120,5347.21,2022-03-17,2026-12-30,Closed
P00254,C00254,Home Loan,250000,12,9510.1,2022-01-04,2030-03-19,Defaulted
P00255,C00255,Home Loan,100000,12,3696.93,2023-12-10,2027-11-24,Closed
P00256,C00256,Home Loan,100000,60,4767.59,2023-05-10,2026-10-25,Closed
P00257,C00257,Health Insurance,100000,60,6046.02,2023-12-02,2028-10-02,Closed
P00259,C00259,Car Insurance,50000,60,3648.95,2023-04-05,2027-06-06,Active
P00262,C00262,Personal Loan,100000,60,8089.37,2021-08-19,2029-03-23,Defaulted
P00263,C00263,Home Loan,100000,60,8818.07,2022-03-15,2027-03-10,Active
P00264,C00264,Home Loan,500000,60,5292.56,2021-11-22,2026-02-19,Closed
P00266,C00266,Car Insurance,250000,60,1453.71,2021-09-05,2028-05-08,Active
P00267,C00267,Home Loan,100000,24,7831.17,2022-01-01,2026-08-05,Closed
P00269,C00269,Health Insurance,100000,120,2477.2,2023-05-27,2026-04-26,Active
P00274,C00274,Home Loan,50000,60,4614.05,2022-04-09,2030-05-11,Defaulted
P00285,C00285,Home Loan,250000,60,2269.13,2022-03-21,2030-06-29,Defaulted
P00288,C00288,Personal Loan,100000,12,7204.86,2023-07-05,2028-02-09,Active
P00291,C00291,Home Loan,100000,60,5555.22,2023-07-15,2030-04-19,Active
P00293,C00293,Home Loan,500000,24,7922.68,2023-02-18,2029-04-30,Closed
P00294,C00294,Health Insurance,50000,24,9552.83,2022-09-12,2026-08-13,Active
P00297,C00297,Personal Loan,500000,24,4978.12,2023-03-17,2029-07-28,Defaulted
P00301,C00301,Car Insurance,50000,24,1853.99,2021-08-17,2029-06-05,Closed
P00303,C00303,Car Insurance,100000,60,9868.37,2022-06-18,2026-09-20,Closed
P00304,C00304,Home Loan,100000,120,3515.01,2022-12-05,2027-06-05,Active
P00309,C00309,Car Insurance,50000,24,2478.01,2023-08-21,2027-09-07,Closed
P00310,C00310,Home Loan,250000,24,8755.83,2022-06-04,2030-03-02,Active
P00311,C00311,Home Loan,50000,60,2452.16,2021-06-14,2028-09-06,Closed
P00313,C00313,Health Insurance,50000,120,3450.8,2023-12-06,2025-09-01,Active
P00314,C00314,Home Loan,500000,12,6363.02,2024-07-21,2027-09-24,Active
P00315,C00315,Car Insurance,50000,120,8408.95,2021-10-11,2027-05-07,Closed
P00318,C00318,Health Insurance,50000,120,7186.96,2022-11-28,2030-07-04,Active
P00321,C00321,Car Insurance,50000,12,2101.07,2021-12-17,2028-03-09,Active
P00326,C00326,Car Insurance,50000,24,7397.35,2022-11-24,2026-04-23,Closed
P00328,C00328,Health Insurance,100000,24,7725.61,2024-06-04,2026-10-15,Defaulted
P00334,C00334,Personal Loan,500000,12,3470.45,2020-12-12,2027-07-11,Defaulted
P00338,C00338,Car Insurance,100000,12,7306.07,2024-07-02,2025-08-12,Active
P00346,C00346,Health Insurance,500000,24,8946.88,2024-03-31,2026-11-27,Active
P00352,C00352,Personal Loan,100000,120,3994.86,2024-07-16,2028-06-11,Defaulted
P00353,C00353,Car Insurance,50000,24,1882.44,2022-01-12,2029-07-18,Active
P00355,C00355,Health Insurance,50000,120,4509.78,2023-04-28,2028-03-08,Closed
P00360,C00360,Car Insurance,250000,60,9614.97,2023-02-21,2028-09-01,Closed
P00361,C00361,Health Insurance,50000,12,3404.46,2023-02-11,2026-09-01,Defaulted
P00363,C00363,Home Loan,250000,12,9038.2,2023-10-23,2026-07-04,Closed
P00367,C00367,Home Loan,250000,60,5720.51,2023-06-05,2029-10-25,Active
P00368,C00368,Health Insurance,100000,24,7899.84,2022-04-21,2028-06-30,Defaulted
P00370,C00370,Car Insurance,500000,60,7927.88,2020-08-25,2025-11-12,Closed
P00373,C00373,Health Insurance,500000,120,5804.08,2022-06-01,2030-06-19,Closed
P00374,C00374,Personal Loan,500000,12,3970.08,2024-04-14,2026-08-10,Closed
P00378,C00378,Health Insurance,100000,120,3476.63,2021-09-25,2029-03-12,Defaulted
P00379,C00379,Home Loan,250000,12,4631.29,2022-03-30,2030-01-01,Closed
P00384,C00384,Personal Loan,50000,120,6363.7,2024-02-25,2025-08-04,Defaulted
P00387,C00387,Home Loan,50000,120,9686.83,2023-04-13,2026-11-08,Active
P00389,C00389,Personal Loan,50000,60,8832.93,2021-08-30,2029-05-21,Active
P00390,C00390,Home Loan,50000,60,6961.15,2020-10-18,2029-04-07,Defaulted
P00392,C00392,Car Insurance,250000,12,4011.0,2021-06-14,2025-10-24,Closed
P00393,C00393,Health Insurance,50000,60,5856.59,2023-02-23,2027-05-27,Defaulted
P00394,C00394,Health Insurance,100000,12,7731.21,2021-03-01,2028-03-17,Closed
P00395,C00395,Health Insurance,50000,120,6482.15,2021-04-02,2028-11-24,Defaulted
P00400,C00400,Home Loan,50000,60,1158.18,2024-03-30,2026-10-19,Defaulted
P00401,C00401,Car Insurance,500000,24,9766.89,2021-04-12,2026-10-11,Active
P00402,C00402,Health Insurance,100000,120,9405.02,2022-11-12,2026-08-30,Active
P00404,C00404,Home Loan,500000,120,4312.24,2020-10-21,2030-04-13,Defaulted
P00407,C00407,Personal Loan,100000,120,7772.86,2021-12-17,2029-04-27,Closed
P00409,C00409,Home Loan,50000,120,6021.09,2022-09-16,2027-06-10,Closed
