TransactionID,AccountID,Date,Type,Amount,Description,Channel
T000001,A01120,2024-10-15,Debit,44454.29,Bill Payment,Online
T000002,A02335,2025-04-06,Credit,48726.33,Salary Credit,Online
T000003,A00246,2024-08-30,Debit,46043.71,ATM Withdrawal,ATM
T000004,A06027,2024-10-19,Credit,38300.97,Salary Credit,Mobile App
T000005,A08723,2025-07-22,Credit,12342.95,Bill Payment,ATM
T000006,A08911,2025-07-01,Debit,24200.62,Online Transfer,Branch
T000007,A08565,2024-11-08,Debit,8765.99,Salary Credit,Mobile App
T000008,A09801,2025-01-04,Debit,8516.69,ATM Withdrawal,ATM
T000009,A06671,2024-09-02,Credit,5932.82,ATM Withdrawal,ATM
T000010,A00597,2024-10-25,Debit,17957.21,ATM Withdrawal,Mobile App
T000011,A07571,2024-09-11,Debit,39319.99,Bill Payment,Mobile App
T000012,A07733,2024-09-22,Debit,17780.69,ATM Withdrawal,ATM
T000013,A07487,2025-06-20,Debit,46366.48,ATM Withdrawal,Mobile App
T000014,A04410,2025-05-29,Debit,47489.25,ATM Withdrawal,Online
T000015,A04663,2025-04-27,Credit,14346.71,Salary Credit,Mobile App
T000016,A09397,2025-06-13,Credit,33634.05,Salary Credit,Mobile App
T000017,A01988,2025-06-03,Debit,23854.69,Bill Payment,Branch
T000018,A05786,2024-12-19,Debit,29354.13,Online Transfer,Online
T000019,A09380,2025-06-05,Credit,30655.92,ATM Withdrawal,Branch
T000020,A03624,2025-03-03,Credit,4848.84,Bill Payment,Branch
T000021,A03288,2025-03-21,Debit,23667.39,Online Transfer,Online
T000022,A06730,2024-10-11,Debit,25203.33,Online Transfer,Branch
T000023,A04264,2025-07-20,Credit,15080.81,ATM Withdrawal,Mobile App
T000024,A07193,2024-10-08,Debit,41638.23,ATM Withdrawal,Mobile App
T000025,A05609,2024-08-15,Debit,48753.79,Bill Payment,ATM
T000026,A01570,2024-10-15,Debit,23118.81,Salary Credit,ATM
T000027,A07975,2025-01-24,Debit,13002.5,ATM Withdrawal,Branch
T000028,A07081,2025-07-18,Debit,12300.39,Salary Credit,Online
T000029,A07065,2025-04-16,Credit,26911.95,Online Transfer,ATM
T000030,A00837,2024-11-16,Debit,15116.07,Bill Payment,Online
T000031,A09897,2024-11-11,Credit,19033.79,ATM Withdrawal,Mobile App
T000032,A01776,2024-11-27,Debit,44160.9,Online Transfer,Branch
T000033,A02442,2025-03-19,Credit,37610.48,Bill Payment,Mobile App
T000034,A05769,2025-04-18,Credit,40308.13,Online Transfer,Online
T000035,A02749,2024-11-28,Credit,21290.15,Salary Credit,Mobile App
T000036,A06928,2024-12-21,Debit,1435.13,Salary Credit,Online
T000037,A02500,2025-01-31,Debit,13157.99,Bill Payment,ATM
T000038,A09640,2025-03-26,Debit,38720.87,Salary Credit,Online
T000039,A02366,2024-09-02,Credit,35073.81,Salary Credit,Online
T000040,A04044,2025-07-16,Credit,30362.07,Online Transfer,ATM
T000041,A02878,2025-02-20,Credit,35730.33,Bill Payment,Branch
T000042,A03057,2024-08-16,Debit,17011.09,ATM Withdrawal,Mobile App
T000043,A01938,2025-02-09,Debit,22680.38,ATM Withdrawal,Branch
T000044,A03515,2024-12-12,Credit,13063.46,Online Transfer,ATM
T000045,A00429,2024-10-30,Debit,5268.27,ATM Withdrawal,Branch
T000046,A07160,2024-10-20,Debit,47466.07,ATM Withdrawal,Mobile App
T000047,A05312,2025-02-14,Credit,20776.45,Salary Credit,Mobile App
T000048,A06250,2025-03-13,Credit,10414.99,Salary Credit,ATM
T000049,A06172,2024-09-20,Debit,35304.54,Online Transfer,ATM
T000050,A01262,2025-06-30,Debit,42316.77,Bill Payment,Mobile App
T000051,A00522,2025-02-11,Credit,39205.37,Bill Payment,Online
T000052,A04546,2024-09-19,Credit,2121.3,Online Transfer,Branch
T000053,A06761,2025-02-10,Credit,2485.87,ATM Withdrawal,Online
T000054,A04213,2025-03-28,Debit,26981.82,Salary Credit,ATM
T000055,A01904,2024-08-09,Debit,3958.92,Bill Payment,Mobile App
T000056,A07404,2024-12-05,Debit,43561.82,Online Transfer,ATM
T000057,A06129,2024-11-30,Credit,43118.17,ATM Withdrawal,Online
T000058,A00530,2024-08-08,Debit,19385.29,Salary Credit,Mobile App
T000059,A01644,2025-06-18,Credit,43442.54,Bill Payment,Mobile App
T000060,A05677,2024-08-01,Debit,21541.77,ATM Withdrawal,Branch
T000061,A04877,2024-10-28,Credit,27947.06,Salary Credit,Mobile App
T000062,A00392,2025-02-02,Credit,5376.44,Salary Credit,Branch
T000063,A08521,2025-05-28,Credit,31929.05,ATM Withdrawal,Branch
T000064,A05502,2024-09-20,Debit,27524.5,ATM Withdrawal,Online
T000065,A03179,2025-05-10,Debit,7541.97,ATM Withdrawal,Branch
T000066,A07090,2025-07-21,Debit,35099.41,Bill Payment,Branch
T000067,A00361,2025-01-17,Debit,3215.91,Online Transfer,Online
T000068,A02424,2025-02-14,Debit,19828.59,Online Transfer,Mobile App
T000069,A02244,2025-04-18,Debit,8875.75,Bill Payment,Branch
T000070,A03370,2024-10-23,Debit,47162.91,ATM Withdrawal,Mobile App
T000071,A00549,2024-10-12,Credit,12551.65,Bill Payment,Branch
T000072,A02718,2024-12-16,Debit,2694.55,ATM Withdrawal,Mobile App
T000073,A01778,2024-11-04,Credit,22117.45,Bill Payment,ATM
T000074,A04530,2024-11-06,Credit,28031.43,Online Transfer,Mobile App
T000075,A04745,2025-03-08,Debit,16120.45,Bill Payment,Online
T000076,A02607,2025-01-15,Credit,25277.55,Salary Credit,ATM
T000077,A07490,2025-01-19,Credit,6297.43,Bill Payment,Branch
T000078,A03778,2025-03-26,Credit,40319.84,ATM Withdrawal,ATM
T000079,A05114,2024-11-08,Credit,13366.52,Bill Payment,Online
T000080,A01596,2024-10-05,Credit,3459.56,ATM Withdrawal,Branch
T000081,A09021,2025-02-28,Debit,37565.47,Salary Credit,Mobile App
T000082,A09559,2024-12-05,Credit,3885.79,ATM Withdrawal,Online
T000083,A03084,2025-07-14,Credit,45289.11,Online Transfer,Branch
T000084,A01459,2025-03-25,Credit,2435.47,Bill Payment,Branch
